rank,performance
1,3390
2,3140
3,3021
4,2941
5,2880
6,2831
7,2789
8,2753
9,2721
10,2692
11,2665
12,2641
13,2618
14,2597
15,2578
16,2559
17,2541
18,2525
19,2509
20,2493
21,2479
22,2465
23,2451
24,2438
25,2426
26,2414
27,2402
28,2391
29,2380
30,2369
31,2358
32,2348
33,2338
34,2329
35,2319
36,2310
37,2301
38,2292
39,2284
40,2276
41,2267
42,2259
43,2251
44,2244
45,2236
46,2228
47,2221
48,2214
49,2207
50,2200
51,2193
52,2186
53,2180
54,2173
55,2167
56,2160
57,2154
58,2148
59,2142
60,2136
61,2130
62,2124
63,2118
64,2113
65,2107
66,2101
67,2096
68,2090
69,2085
70,2080
71,2075
72,2069
73,2064
74,2059
75,2054
76,2049
77,2044
78,2039
79,2035
80,2030
81,2025
82,2020
83,2016
84,2011
85,2007
86,2002
87,1998
88,1993
89,1989
90,1985
91,1980
92,1976
93,1972
94,1968
95,1963
96,1959
97,1955
98,1951
99,1947
100,1943
101,1939
102,1935
103,1931
104,1927
105,1924
106,1920
107,1916
108,1912
109,1908
110,1905
111,1901
112,1897
113,1894
114,1890
115,1886
116,1883
117,1879
118,1876
119,1872
120,1869
121,1865
122,1862
123,1858
124,1855
125,1852
126,1848
127,1845
128,1842
129,1838
130,1835
131,1832
132,1829
133,1825
134,1822
135,1819
136,1816
137,1813
138,1809
139,1806
140,1803
141,1800
142,1797
143,1794
144,1791
145,1788
146,1785
147,1782
148,1779
149,1776
150,1773
151,1770
152,1767
153,1764
154,1761
155,1758
156,1755
157,1752
158,1749
159,1747
160,1744
161,1741
162,1738
163,1735
164,1732
165,1730
166,1727
167,1724
168,1721
169,1719
170,1716
171,1713
172,1710
173,1708
174,1705
175,1702
176,1700
177,1697
178,1694
179,1692
180,1689
181,1686
182,1684
183,1681
184,1679
185,1676
186,1673
187,1671
188,1668
189,1666
190,1663
191,1661
192,1658
193,1656
194,1653
195,1651
196,1648
197,1646
198,1643
199,1641
200,1638
201,1636
202,1633
203,1631
204,1628
205,1626
206,1621
209,1616
210,1614
211,1611
212,1609
213,1607
214,1604
215,1602
216,1599
217,1597
218,1595
219,1592
220,1590
221,1588
222,1585
223,1583
224,1578
227,1574
228,1572
229,1569
230,1567
231,1565
232,1562
233,1560
234,1558
235,1556
236,1553
237,1551
238,1549
239,1547
240,1544
241,1542
242,1540
243,1538
244,1536
245,1533
246,1531
247,1529
248,1527
249,1525
250,1522
251,1520
252,1518
253,1516
254,1514
255,1511
256,1509
257,1507
258,1505
259,1503
260,1501
261,1499
262,1496
263,1494
264,1492
265,1490
266,1488
267,1486
268,1484
269,1482
270,1479
271,1477
272,1475
273,1473
274,1471
275,1469
276,1467
277,1465
278,1463
279,1461
280,1458
281,1456
282,1454
283,1452
284,1450
285,1448
286,1446
287,1444
288,1442
289,1440
290,1438
291,1436
292,1434
293,1432
294,1430
295,1428
296,1426
297,1424
298,1422
299,1420
300,1418
301,1416
302,1414
303,1412
304,1410
