rank,score
1,566997
2,557212
3,554334
4,552933
5,549746
6,547775
7,545189
8,541601
9,538651
10,534048
11,532213
12,525811
13,523690
14,522096
15,521084
16,520536
17,517184
18,515603
19,514041
20,505938
21,505526
22,502088
23,494998
24,493426
25,491409
26,490588
27,485857
28,485604
29,483191
30,482566
31,480784
32,478183
33,477943
34,474931
35,473459
36,467964
37,467010
38,465605
39,461750
40,456607
41,456391
42,456284
43,453751
44,451489
45,449872
46,449073
47,445817
48,444421
49,442316
50,441575
51,440277
52,438821
53,435878
54,435391
55,432695
56,432596
57,428350
58,428142
59,426310
60,424093
61,423811
62,423543
63,423353
64,416594
65,416456
66,415269
67,415076
68,414632
69,411520
70,410690
71,410324
72,410280
73,410033
74,408112
75,407203
76,405036
77,400868
78,400011
79,399312
80,397068
81,396572
82,395201
83,394109
84,393032
85,392217
86,387823
87,384595
88,382540
89,381048
90,380235
91,379715
92,378032
93,377438
94,377273
95,376968
96,376373
97,376130
98,375268
99,370889
100,370689
101,365839
102,364935
103,361879
104,360765
105,360475
106,359910
107,359210
108,358729
109,358703
110,358457
111,357337
112,357248
113,356676
114,355786
115,355556
116,354762
117,354608
118,354518
119,353719
120,350450
121,348303
122,347744
123,346659
124,346394
125,345760
126,345533
127,345492
128,345434
129,345408
130,343928
131,343850
132,341746
133,340539
134,339985
135,338663
136,338025
137,337391
138,335655
139,335533
140,334932
141,333146
142,332600
143,332008
144,331899
145,331878
146,331459
147,331109
148,330399
149,329388
150,327462
151,326248
152,325573
153,325045
154,324873
155,324568
156,323768
157,323201
158,322538
159,321693
160,320237
161,317783
162,317588
163,315952
164,314628
165,313342
166,313246
167,312508
168,312248
169,311849
170,311715
171,310893
172,310617
173,310184
174,308972
175,308214
176,306924
177,304854
178,304707
179,303466
180,303170
181,303001
182,300933
183,299788
184,298429
185,297945
186,297283
187,297016
188,296372
189,295796
190,295201
191,293202
192,293003
193,292809
194,292730
195,292658
196,292529
197,292429
198,292224
199,292208
200,292159
201,292141
202,291990
203,291988
204,291861
205,291846
206,291842
209,291711
210,291695
211,291654
212,291644
213,291638
214,291605
215,291562
216,291513
217,291509
218,291468
219,291462
220,291448
221,291267
222,291211
223,291073
224,291056
227,291047
228,290954
229,290923
230,290906
231,290829
232,290753
233,290633
234,290594
235,290223
236,290036
237,289798
238,289498
239,289362
240,289227
241,288949
242,288840
243,288526
244,288452
245,288355
246,288191
247,288130
248,288091
249,287937
250,287795
251,287736
252,287684
253,287616
254,287589
255,287543
256,287539
257,287531
258,287506
259,287297
260,287129
261,286985
262,286835
263,286823
264,286597
265,286265
266,285942
267,285710
268,285509
269,285142
270,284197
271,283313
272,283209
273,283175
274,282690
275,282660
276,281743
277,281639
278,281053
279,280496
280,280482
281,279899
282,279338
283,278287
284,278259
285,278160
286,278127
287,277307
288,276767
289,276473
290,276028
291,275374
292,274954
293,274343
294,274207
295,274054
296,273669
297,273597
298,273471
299,272692
300,271912
301,271563
302,270962
303,270067
304,269798
305,269618
306,269250
307,265946
308,265666
309,263969
310,263244
311,262137
312,261734
313,261651
314,260325
315,259965
316,259713
317,258658
318,257173
319,256692
320,256417
321,256005
322,255878
323,255500
324,255118
325,255085
326,254879
327,252900
328,251495
329,250167
330,249687
331,248463
332,248264
333,247586
334,246971
335,246698
336,244724
337,242217
338,241699
339,240957
340,240636
341,240609
342,237838
343,237063
344,237012
345,236189
346,235998
347,235112
348,234746
349,234108
350,233484
351,232558
352,232072
353,230805
354,230235
355,229189
356,229080
357,225480
358,224064
359,223883
360,221988
361,221860
362,221134
363,219251
364,218465
365,218210
366,217762
367,217617
368,214795
369,214581
370,214573
371,213163
372,212753
373,207255
374,207103
375,206714
376,203411
377,202649
378,201374
379,198853
380,197751
381,196908
382,196279
383,195767
384,195765
385,195680
386,195166
387,194549
388,194429
389,194333
390,194299
391,194240
392,194048
393,193022
394,192988
395,192783
396,192327
397,191725
398,189515
399,189340
400,189190
401,189161
402,188274
403,187103
404,187023
405,186136
406,184413
407,184308
408,183418
409,182818
410,181703
411,180005
412,178451
413,178159
414,178010
418,175866
419,175484
420,172390
421,171932
422,171093
423,170336
424,169941
425,169387
426,168085
427,167851
428,166671
429,166445
430,166271
431,165425
432,164840
433,164691
434,164298
435,163788
436,162802
437,162456
438,161324
439,161238
440,159805
441,158900
442,158879
443,158575
444,156940
445,156303
446,155427
447,153842
448,153558
449,153292
450,152681
451,148380
452,146912
453,143603
454,142994
455,140518
456,140090
457,139938
458,138277
459,138066
460,135781
461,133892
462,131873
463,130563
464,129168
465,128274
466,127836
467,127078
468,125003
469,123404
470,122596
471,122039
472,119802
474,119355
475,116780
476,116456
477,115804
478,115295
479,111254
480,105914
481,105370
482,105212
483,99861
484,96116
485,95216
486,94483
487,94393
488,93104
489,90536
490,89474
491,88260
492,88048
493,87516
494,85981
495,85035
496,83185
503,83176
504,83170
505,81924
506,81639
507,79577
508,75084
509,72694
510,70968
511,70678
512,70014
513,69077
514,68950
516,67708
517,67336
518,67270
519,66516
520,64677
521,64406
522,63518
523,61963
524,61580
525,61124
526,58515
527,57844
528,57517
530,56979
531,56463
