rank,score
1,335417
2,334470
3,334415
4,334175
5,333766
6,333200
7,332650
8,330986
9,329305
10,328125
11,326795
12,326047
13,323417
14,321465
15,320887
16,320536
17,320464
18,319184
19,318497
20,318086
21,317560
22,316429
23,315874
24,314225
25,314019
26,313900
27,313339
28,313291
29,313159
30,313060
31,312705
32,312194
33,311592
34,311125
35,310142
36,308579
37,308054
38,306802
39,306769
40,306152
41,306079
42,306029
43,305942
45,305750
46,305664
47,305322
48,304577
49,304414
50,304120
51,303498
52,303435
53,303378
54,303262
55,302929
56,302875
57,302792
58,301058
59,300274
60,300138
61,300062
62,299550
63,299365
64,298547
65,298150
66,297453
67,297351
68,296458
69,296070
70,295144
71,294940
72,294726
73,294551
74,294094
75,293826
76,293787
77,292226
78,291137
79,291050
80,290778
81,290451
82,290384
83,290262
84,290203
85,289871
86,289128
87,287891
88,287876
89,287398
90,286680
91,286416
92,285964
93,285816
94,285748
95,285656
96,285317
97,285025
98,284992
99,284960
100,284932
101,284795
102,284772
103,284692
104,284520
105,284481
106,284383
107,284354
108,284128
109,284061
110,283847
111,283465
112,283456
113,282842
114,282051
115,280287
116,280097
117,280038
118,280021
119,279993
120,279581
121,277955
122,277725
123,277355
124,276093
125,274461
126,274064
127,273991
128,273772
129,273686
130,273432
131,273291
132,272907
133,272803
134,272671
135,270514
136,269727
137,269665
138,269518
139,269282
140,268299
141,268075
142,268062
143,267913
144,266512
145,265800
146,264534
147,264225
148,263793
149,263614
150,263511
151,263350
152,262392
153,262272
154,262121
155,260925
156,260839
157,260576
158,260398
159,260280
160,260134
161,260045
162,259967
163,259025
164,258993
165,257447
166,256321
167,255942
168,255861
169,255843
170,255443
171,253298
172,252653
173,252420
174,251387
175,251257
176,248812
177,248135
178,247662
179,247113
180,246822
181,246596
182,245838
183,245714
184,244760
185,244074
186,242893
187,241892
188,241082
189,240969
190,239463
191,238614
192,238557
193,238281
194,237688
195,236430
196,236376
197,236136
198,235892
199,235789
200,234911
201,233884
202,233779
203,233615
204,233527
205,233307
206,233149
207,232637
208,231632
209,231516
210,230666
211,229767
212,229118
213,228955
214,228768
215,227034
216,226650
217,226486
218,226266
219,224441
220,224416
221,224214
222,224182
223,223520
224,223049
225,222598
226,222532
227,222030
228,220937
229,220903
230,218822
231,217902
232,217460
233,217081
234,216038
235,215606
236,214592
237,213147
238,213074
239,212696
240,211424
241,210329
242,209046
243,208001
244,206749
245,206729
246,206352
247,206116
248,205966
249,205861
250,205810
251,204880
252,204417
253,202659
254,201980
255,201704
256,201480
257,201207
258,200784
259,200738
260,199979
261,198949
262,198788
263,198640
264,198203
265,197816
266,192994
267,192860
268,191498
269,190037
270,189700
271,188638
272,188324
273,187169
274,186876
275,182747
276,180304
277,180213
278,179013
280,178396
281,178248
282,178056
283,177487
284,176144
285,175276
286,171326
287,170741
288,170168
289,166260
290,164607
291,164576
292,162839
293,159700
294,158450
295,157359
296,149911
297,148292
298,143411
299,140707
300,139848
301,139463
302,139088
303,138767
304,138282
305,134709
306,134575
307,132486
308,130959
309,130744
310,127342
311,127256
312,126220
313,126080
314,119899
315,116993
316,114228
317,114111
318,112798
319,111613
320,111091
321,110166
322,108959
323,108932
324,107501
325,105183
326,102563
327,98966
328,95772
329,95722
330,95685
331,95638
332,94534
333,94237
334,93808
335,93776
336,93773
338,93771
339,93763
340,93736
341,93724
342,93687
350,93679
352,93662
353,93646
354,93626
355,93567
356,93523
357,93509
358,93369
359,93313
360,93308
361,93287
362,93241
364,92867
365,92400
366,91925
367,91400
368,91283
369,90672
370,90650
371,90452
372,89901
373,89624
374,89321
375,89251
376,89014
377,87463
378,87260
379,86949
380,86173
381,85868
382,84196
383,83495
384,82206
385,80893
386,79082
387,74396
388,71090
389,67330
390,66507
391,62818
392,61627
393,58660
394,58180
395,55451
396,54110
397,53416
398,52068
399,51950
400,48860
401,48856
402,48855
404,48853
407,48852
408,48851
409,48841
410,48823
412,48822
415,48821
417,48820
419,48819
421,48815
423,48789
424,48769
425,48660
426,48651
427,48646
428,48643
433,48359
434,47929
435,47911
436,47384
437,47270
438,47133
439,47069
440,46990
441,46978
442,46950
443,46587
444,46468
445,46327
446,45444
448,45295
449,45176
450,44979
452,44878
453,44001
454,43543
456,42616
457,42523
458,41528
459,41144
460,40498
461,39350
462,39192
463,38715
464,37242
465,36102
466,35217
467,34640
468,34602
469,34509
470,32763
471,32403
472,29435
473,28226
474,27686
475,27341
477,26792
478,26547
479,26383
480,25857
481,25622
482,25336
483,24796
484,23386
485,23010
486,22879
487,22702
488,22620
489,22313
490,21960
491,21785
492,21570
493,19840
494,19404
495,18140
496,18138
497,16909
498,16500
499,16064
518,16050
519,15944
520,14447
521,14422
522,13416
523,13364
524,12403
525,11936
526,10077
527,9514
528,9036
530,8869
531,8839
532,8467
534,8410
536,7435
537,6871
538,4211
539,4193
540,3488
541,3008
542,2845
543,2760
544,2732
545,2649
546,1611
547,1601
548,1320
549,800
550,687
551,653
557,300
558,278
561,271
562,250
564,200
566,162
567,153
568,150
664,0
